sku,name,description,category,brand,price,regular_price,sale_price,currency,stock,is_active,image_url,tags,attributes,variant_sku,variant_attributes,variant_price,variant_stock
BOT-001,Performance Bottle,Lightweight insulated bottle that keeps drinks cold for 24 hours,Bottle,Virtix,19,25,19,USD,100,true,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=600|https://images.unsplash.com/photo-1523362628745-0c100150b504?w=600,"bottle,gym,hydration","{}","","",,
BOT-002,Glass Water Bottle,Eco-friendly borosilicate glass bottle with silicone sleeve,Bottle,EcoLife,24,30,24,USD,60,true,,"bottle,eco,glass","{}","","",,
SHOE-001,Running Shoe,Lightweight comfort running shoe with memory foam sole,Shoes,Nike,89,99,89,USD,0,true,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600|https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600,"shoe,running,sport","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""White"",""Black""]}",SHOE-001-W-S,"{""Size"":""S"",""Color"":""White""}",89,5
SHOE-001,Running Shoe,Lightweight comfort running shoe with memory foam sole,Shoes,Nike,89,99,89,USD,0,true,,"shoe,running,sport","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""White"",""Black""]}",SHOE-001-W-M,"{""Size"":""M"",""Color"":""White""}",89,12
SHOE-001,Running Shoe,Lightweight comfort running shoe with memory foam sole,Shoes,Nike,89,99,89,USD,0,true,,"shoe,running,sport","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""White"",""Black""]}",SHOE-001-B-M,"{""Size"":""M"",""Color"":""Black""}",89,8
SHOE-001,Running Shoe,Lightweight comfort running shoe with memory foam sole,Shoes,Nike,89,99,89,USD,0,true,,"shoe,running,sport","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""White"",""Black""]}",SHOE-001-B-L,"{""Size"":""L"",""Color"":""Black""}",89,4
SHIRT-001,Classic Polo Shirt,Premium cotton polo shirt for everyday wear,Apparel,PrimeFit,35,45,35,USD,0,true,,"shirt,polo,apparel","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""Navy"",""White"",""Black""]}",SHIRT-001-N-S,"{""Size"":""S"",""Color"":""Navy""}",35,10
SHIRT-001,Classic Polo Shirt,Premium cotton polo shirt for everyday wear,Apparel,PrimeFit,35,45,35,USD,0,true,,"shirt,polo,apparel","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""Navy"",""White"",""Black""]}",SHIRT-001-N-M,"{""Size"":""M"",""Color"":""Navy""}",35,15
SHIRT-001,Classic Polo Shirt,Premium cotton polo shirt for everyday wear,Apparel,PrimeFit,35,45,35,USD,0,true,,"shirt,polo,apparel","{""Size"":[""S"",""M"",""L"",""XL""],""Color"":[""Navy"",""White"",""Black""]}",SHIRT-001-W-L,"{""Size"":""L"",""Color"":""White""}",35,7
BAG-001,Canvas Tote Bag,Durable canvas tote with zipper pocket and laptop sleeve,Bags,UrbanCarry,49,59,49,USD,200,true,,"bag,tote,canvas","{}","","",,
DESK-001,Wireless Charging Pad,Fast wireless charger compatible with all Qi devices,Electronics,TechBase,29,39,29,USD,150,true,,"charger,wireless,tech","{}","","",,
